Nome,Cargo,Gênero
João da Silva,Pastor,masculino
Maria Aparecida Souza,Secretária,feminino
Carlos Eduardo Pereira,Tesoureiro,masculino
Ana Paula Ferreira,Diácono,feminino
José Rodrigues Lima,Presbítero,masculino
Francisca Oliveira Santos,Membro,feminino
Pedro Henrique Costa,Diácono,masculino
Lucia Alves Martins,Membro,feminino
Antonio Gomes Neto,Presbítero,masculino
Rosangela Mendes,Membro,feminino
Marcos Vinicius Barros,Membro,masculino
Valdirene Ferreira Dias,Membro,feminino
Renato Almeida Cruz,Diácono,masculino
Claudia Regina Torres,Membro,feminino
Sérgio Machado Pinto,Membro,masculino
Elaine Cristina Rocha,Membro,feminino
Fábio Borges Carvalho,Presbítero,masculino
Simone Aparecida Campos,Membro,feminino
Rogerio Nascimento,Membro,masculino
Patrícia Helena Vieira,Membro,feminino
Leandro Augusto Ramos,Diácono,masculino
Adriana Melo Fernandes,Membro,feminino
Wesley Santos Araujo,Membro,masculino
Juliana Castro Lopes,Membro,feminino
Rafael Oliveira Moreira,Membro,masculino
Cintia Barbosa Freitas,Membro,feminino
Gilberto Ribeiro Fonseca,Presbítero,masculino
Tatiana Reis Monteiro,Membro,feminino
Bruno Alexandre Teixeira,Membro,masculino
Andreia Lima Cavalcante,Membro,feminino
